Id,Job Title,Company,Location,Date Posted,Position,Employment Type,Minimum Education,Category,Industry
215689,Microsoft Power Apps (Automation Developer)  ,PGI Data,"Jakarta, Indonesia",2023-04-17 03:54:58.436527+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
219866,DevOps and Data Engineer  ,Mobius Digital,"Tangerang Selatan, Indonesia",2023-04-04 09:02:35.935010+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
218980,Data Quality Analyst  ,Astra Financial,"Central Jakarta City, Indonesia",2023-04-03 06:56:37.850649+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
216331,Data Entry  ,PT. Royal Trust,"South Jakarta, Indonesia",2023-03-31 03:23:45.773256+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus SMA,Administration and Coordination,Investment Management / Hedge Fund / Private Equity
198724,Project Manager  ,PGI Data,"Jakarta, Indonesia",2023-04-03 06:38:05.915181+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
219435,Business Development (B2B Corporate Sales)  ,Algoritma,"Jakarta, Indonesia",2023-04-14 08:34:31.679744+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Professional Training
222971,iOS Developer  ,PhinCon ,"Jakarta Selatan, Indonesia",2023-04-10 04:28:30.077492+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,
182750,Data Engineer  ,PT Global Urban Esensial,"South Tangerang, Indonesia",2023-03-24 03:17:46.464188+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Health / Fitness
153416,Senior Data Engineer  ,paper.id,"North Jakarta, Indonesia",2023-04-12 07:59:25.390774+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
197693,Data Analytics Manager  ,PT Adicipta Inovasi Teknologi,"Kota Jakarta Barat, Indonesia",2023-04-06 02:20:33.531699+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
223183,Key Account Jr. Executive  ,PT Majoo Teknologi Indonesia,"Jakarta Selatan, Indonesia",2023-04-13 02:14:30.143682+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Information Technology / IT
221474,Data Scientist  ,MileApp,"West Jakarta, Indonesia",2023-03-10 08:09:39.790430+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
217615,Accounting Associate  ,PT Dipo Star Finance,"Jakarta Pusat, Indonesia",2023-04-12 02:52:19.361071+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Accounting and Finance,Financial Services
185638,IT Business Information  ,Asuransi Astra,"South Jakarta, Indonesia",2023-03-30 07:11:51.264767+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Insurance
221431,IT Asset Management Staff  ,PT Bank Central Asia Tbk,"Central Jakarta, Indonesia",2023-03-10 09:10:10.577421+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
208076,IT Application Consultant  ,CARE Technologies,"South Jakarta, Indonesia",2023-03-28 07:40:53.734171+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
222334,Growth Campaign  ,Astra Financial,"South Jakarta, Indonesia",2023-03-27 03:07:46.576522+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Financial Services
222560,Operational QA Data Analyst  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-03-30 04:46:47.961738+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Administration and Coordination,Financial Services
222321,Growth Marketing Associate  ,Hangry,"Jakarta Barat, Indonesia",2023-03-27 03:00:02.435906+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Food / Beverages
210154,iOS Developer  ,Perqara,"Jakarta Selatan, Indonesia",2023-02-27 06:59:38.842198+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
223056,Professional Development Program - Technology  ,PT BCA Finance,"South Jakarta, Indonesia",2023-04-11 09:23:06.368496+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
180706,Software Developer  ,Wistkey Technologies Limited / MamaHelpers ,"Central Jakarta, Indonesia",2023-03-31 02:48:01.361742+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
221031,Centralized Data Processing  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-03-03 08:26:12.347866+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Administration and Coordination,Financial Services
220752,IT Infrastructure Engineering  ,PT Prodia Widyahusada Tbk. (Prodia),"Central Jakarta, Indonesia",2023-04-18 07:09:42.002735+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Hospital / Health Care
221787,Collector  ,Sinar Metrindo Perkasa,"Jakarta Barat, Indonesia",2023-04-04 02:48:14.737826+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Diploma (D3),General Services,Electrical / Electronic Manufacturing
196040,Database Engineer  ,PT Bank Central Asia Tbk,"Central Jakarta, Indonesia",2023-04-18 10:16:10.169329+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
223484,Data Analyst  ,Hana Bank,"Jakarta Selatan, Indonesia",2023-04-18 07:10:32.002057+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Banking / Mortgage
209508,MongoDB DBA  ,Dans Multi Pro,"South Jakarta, Indonesia",2023-04-18 04:19:04.207777+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
207054,Program Staf Pendukung Operasi (PSPO)  ,PT Bank Central Asia Tbk,"Central Jakarta, Indonesia",2023-04-14 11:45:44.197687+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Administration and Coordination,Financial Services
219173,Quality Assurance  ,Gear Inc,"Denpasar, Indonesia",2023-04-20 23:04:45.092844+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,BPO
194739,IT Microservices Architecture  ,PT Prodia Widyahusada Tbk. (Prodia),"Central Jakarta, Indonesia",2023-03-02 02:42:37.756344+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Hospital / Health Care
219174,Moderation Trainers  ,Gear Inc,"Denpasar, Indonesia",2023-04-20 23:04:06.062232+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Human Resources,BPO
202973,Android Developer  ,PhinCon ,"Jakarta Selatan, Indonesia",2023-04-11 07:46:26.577773+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,
222391,Engineering Manager  ,PT Alam Sutera Realty Tbk,"Tangerang, Indonesia",2023-03-28 02:40:46.301590+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Architecture and Engineering,Commercial Real Estate
213605,Data Analytics Head  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-03-14 08:31:14.600763+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
204800,Andalin Future Leader Development Program  ,Andalin,"Jakarta Selatan, Indonesia",2023-04-18 08:52:28.628022+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Management and Consultancy,"Transportation, Logistics, and Storage"
146527,Flutter Mobile | Web Developer  ,Gluon Consulting Pte. Ltd.,"Central Jakarta, Indonesia",2023-03-15 20:53:02.684595+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,IT and Software
221443,API Specialist  ,Astra Financial,"Central Jakarta City, Indonesia",2023-03-10 04:04:17.913587+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
223445,Customer Relationship Management Officer  ,PT Gema Mulia Semesta (SOUVIA),"Bogor Kota, Indonesia",2023-04-18 02:28:23.158745+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Customer Service,
223263,SAP SD Support  ,PT. Jasa Teknologi Informasi IBM,"Central Jakarta, Indonesia",2023-04-14 07:12:48.432746+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
223116,MIS Analytics Retail Banking  ,PT Bank BTPN Tbk,"South Jakarta, Indonesia",2023-04-12 06:43:19.481905+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Management and Consultancy,Banking / Mortgage
215026,Senior Merchandiser  ,Howel and Co,"Jakarta Barat, Indonesia",2023-03-14 02:28:17.297928+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Supply Chain,Retail Industry
223488,Data Engineer Lead  ,Hana Bank,"Jakarta Selatan, Indonesia",2023-04-18 07:15:55.085954+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Banking / Mortgage
216610,Business Development  ,TOMP'S,"Jakarta Selatan, Indonesia",2023-03-31 05:34:46.704554+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Information Technology / IT
141436,Senior Data Analyst  ,paper.id,"North Jakarta, Indonesia",2023-03-16 03:23:51.552949+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
176230,Data Engineer  ,Nomura Research Institute Indonesia,"Jakarta Pusat, Indonesia",2023-01-16 03:33:36.631736+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
196086,Network Engineer  ,PT Bank Central Asia Tbk,"Central Jakarta, Indonesia",2023-04-18 10:17:33.008474+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
